Model_Name,SMAPE,x
RNN,0.164307729903296,v
RNN,0.147394964161686,v
RNN,0.1485710587499,v
RNN,0.147101875942895,v
RNN,0.150607472486474,v
RNN,0.148856282526086,v
RNN,0.150637882081054,v
RNN,0.149776620624599,v
RNN,0.14793846724558,v
RNN,0.141102980704819,v
RNN,0.149117031451305,v
RNN,0.144123585601116,v
RNN,0.14302094627189,v
RNN,0.145445662267641,v
RNN,0.143635452504748,v
RNN,0.141888780490054,v
RNN,0.147833378336807,v
RNN,0.144833942326624,v
RNN,0.144113011088346,v
RNN,0.14586867943558,v
RNN,0.143352445210126,v
RNN,0.143101766251389,v
RNN,0.154837185405081,v
RNN,0.148455030735413,v
RNN,0.150269396275567,v
RNN,0.150205919876005,v
RNN,0.150712885783016,v
RNN,0.146619543024924,v
RNN,0.148025661775444,v
RNN,0.146870930680439,v
RNN,0.143481677800812,v
RNN,0.144255668969183,v
RNN,0.144532349810462,v
RNN,0.147752400679444,v
RNN,0.154164724282235,v
RNN,0.150016910380542,v
ETS,0.141432799663047,v
ARIMA,0.142507463588728,v
