Model_Name,SMAPE,x
RNN,0.117694216919861,v
RNN,0.092082199089999,v
RNN,0.095986874040668,v
RNN,0.094632166020032,v
RNN,0.093894503523906,v
RNN,0.092538057556342,v
RNN,0.098112745170567,v
RNN,0.092930381870501,v
RNN,0.095101550103644,v
RNN,0.090008990491906,v
RNN,0.093086361127777,v
RNN,0.091555000376629,v
RNN,0.090998050949331,v
RNN,0.091520878229192,v
RNN,0.090845453105048,v
RNN,0.090817549871694,v
RNN,0.090422928679315,v
RNN,0.089834533000264,v
RNN,0.093227008572817,v
RNN,0.091905167936287,v
RNN,0.089639088558433,v
RNN,0.09029096108248,v
RNN,0.100805111971782,v
RNN,0.095608816824913,v
RNN,0.094439599391434,v
RNN,0.095779215787057,v
RNN,0.096283949307465,v
RNN,0.089535640675645,v
RNN,0.094122400158078,v
RNN,0.090357815244902,v
RNN,0.089813417846977,v
RNN,0.091552513546739,v
RNN,0.092529882635063,v
RNN,0.091857568158345,v
RNN,0.109171151765206,v
RNN,0.097020267972794,v
ETS,0.091329111962146,v
ARIMA,0.090059324223057,v
