Model_Name,SMAPE,x
RNN,0.079311056862529,v
RNN,0.079473011121853,v
RNN,0.064568811610869,v
RNN,0.06861089955003,v
RNN,0.066456611620796,v
RNN,0.065280697742081,v
RNN,0.071223404583938,v
RNN,0.081590020509787,v
RNN,0.075291943260697,v
RNN,0.079819630193057,v
RNN,0.06879488114519,v
RNN,0.065029426981973,v
RNN,0.066661846075782,v
RNN,0.064162375475497,v
RNN,0.064638442802502,v
RNN,0.079773417063313,v
RNN,0.069606914768216,v
RNN,0.072341961103783,v
RNN,0.068631195461265,v
RNN,0.068751425597989,v
RNN,0.059074693317266,v
RNN,0.079845299822529,v
RNN,0.075993531892478,v
RNN,0.067127782132117,v
RNN,0.068527938696006,v
RNN,0.068697333034643,v
RNN,0.071345320460729,v
RNN,0.065745444511852,v
RNN,0.065042535997893,v
RNN,0.066525711279859,v
RNN,0.068426645694383,v
RNN,0.066330400610873,v
RNN,0.06546505477242,v
RNN,0.067449477473468,v
RNN,0.065105840092872,v
RNN,0.067286067003345,v
ETS,0.066655077411757,v
ARIMA,0.07693317609101,v
