Model_Name,Input_Format,Dataset,x,Mean_SMAPE_Rank
ERNN_Adagrad,Moving_Window,M4,y,5
ERNN_Adam,Moving_Window,M4,y,21
ERNN_Cocob,Moving_Window,M4,y,24
GRU_Adagrad,Without_Moving_WIndow,M4,y,11
GRU_Adam,Without_Moving_WIndow,M4,y,34
GRU_Cocob,Without_Moving_WIndow,M4,y,16
LSTM_Adagrad,Without_Moving_WIndow,M4,y,9
LSTM_Adam,Without_Moving_WIndow,M4,y,10
LSTM_Cocob,Without_Moving_WIndow,M4,y,14
ERNN_Adagrad,Without_Moving_WIndow,M4,y,26
ERNN_Adam,Without_Moving_WIndow,M4,y,31
ERNN_Cocob,Without_Moving_WIndow,M4,y,17
