Model_Name,MASE,x
RNN,1.42845336008024,v
RNN,1.36484002006018,v
RNN,1.25456920762287,v
RNN,1.42845336008024,v
RNN,1.34690120361083,v
RNN,1.4530220661986,v
RNN,1.40596940822467,v
RNN,1.39440571715145,v
RNN,1.35770260782347,v
RNN,1.42843881644935,v
RNN,1.42801955867603,v
RNN,1.29627382146439,v
RNN,1.43645235707121,v
RNN,1.2433445336008,v
RNN,1.26245235707121,v
RNN,1.42757723169509,v
RNN,1.39268104312939,v
RNN,1.42813841524574,v
RNN,1.43655315947844,v
RNN,1.26574874623872,v
RNN,1.35425827482447,v
RNN,1.42143630892678,v
RNN,1.32801705115346,v
RNN,1.28679588766299,v
RNN,1.34427733199599,v
RNN,1.27456369107322,v
RNN,1.29087161484453,v
RNN,1.25472417251755,v
RNN,1.25059177532598,v
RNN,1.23727482447342,v
RNN,1.25080692076229,v
RNN,1.25158425275827,v
RNN,1.24721213640923,v
RNN,0.795940373418334,v
RNN,0.779144426045195,v
RNN,0.789677784964791,v
RNN,1.25140270812437,v
RNN,1.23194032096289,v
RNN,1.2347778335005,v
RNN,1.22842276830492,v
RNN,1.22841624874624,v
RNN,1.23500050150451,v
RNN,1.26492326980943,v
RNN,1.25333851554664,v
RNN,1.27234653961886,v
ETS,1.58034904714142,v
ARIMA,1.43523269809428,v
