Model_Name,MASE,x
RNN,1.05251294791667,v
RNN,1.79366091666667,v
RNN,1.10647895833333,v
RNN,1.29770528125,v
RNN,1.64762472916667,v
RNN,1.17743151041667,v
RNN,2.06152409375,v
RNN,1.31111246875,v
RNN,1.17988894791667,v
RNN,1.00456944088698,v
RNN,1.03598299830789,v
RNN,1.05340817751092,v
RNN,1.0514075,v
RNN,1.32466882291667,v
RNN,1.06662664583333,v
RNN,1.00691136735657,v
RNN,1.03405470098637,v
RNN,1.02306152083333,v
RNN,1.045548125,v
RNN,1.04980432291667,v
RNN,1.0587579375,v
RNN,1.00946895293606,v
RNN,1.10733233816512,v
RNN,1.12602411889821,v
RNN,1.13748370833333,v
RNN,1.27242265625,v
RNN,1.08252830208333,v
RNN,1.09550245321514,v
RNN,1.09901349178042,v
RNN,1.12030474448396,v
RNN,1.06195548701959,v
RNN,1.10868910376385,v
RNN,1.15048328594586,v
RNN,1.14622063742526,v
RNN,1.64030864704161,v
RNN,1.13451460279499,v
ETS,0.946557354166667,v
ARIMA,0.9618258125,v
