Model_Name,SMAPE,x
RNN,0.174901365332158,v
RNN,0.177696576132152,v
RNN,0.173916282875933,v
RNN,0.176683460734405,v
RNN,0.180270227202527,v
RNN,0.175795776795576,v
RNN,0.176492181534725,v
RNN,0.176493830790918,v
RNN,0.181338289091643,v
RNN,0.167512800605412,v
RNN,0.167677661786119,v
RNN,0.168823986836371,v
RNN,0.177575091270365,v
RNN,0.173245551831297,v
RNN,0.175945577256379,v
RNN,0.175851664986131,v
RNN,0.173834480333054,v
RNN,0.168819690227969,v
RNN,0.173557164751253,v
RNN,0.173359261512762,v
RNN,0.173583063823171,v
RNN,0.16975760104092,v
RNN,0.170642616193018,v
RNN,0.17170443004226,v
RNN,0.203294406474021,v
RNN,0.174331108179675,v
RNN,0.171184049564696,v
RNN,0.18068944774478,v
RNN,0.184403723209018,v
RNN,0.181624519598331,v
RNN,0.173636657283063,v
RNN,0.188741399564272,v
RNN,0.176145456780554,v
RNN,0.178902609400066,v
RNN,0.187387441343528,v
RNN,0.184177676228465,v
ETS,0.171590548787985,v
ARIMA,0.181615491435693,v
