Model_Name,SMAPE,x
RNN,0.517653531122109,v
RNN,0.501839387396021,v
RNN,0.472301574693843,v
RNN,0.517653531122109,v
RNN,0.49921764839258,v
RNN,0.525298704714799,v
RNN,0.517894605568123,v
RNN,0.509113409658595,v
RNN,0.50025029975848,v
RNN,0.517657851841821,v
RNN,0.517624733898987,v
RNN,0.488405630852826,v
RNN,0.522848439140516,v
RNN,0.469571715342679,v
RNN,0.47416587202751,v
RNN,0.517625323018088,v
RNN,0.510935504747547,v
RNN,0.518010394787977,v
RNN,0.52280965449126,v
RNN,0.475199059037382,v
RNN,0.501759195363439,v
RNN,0.515762300593255,v
RNN,0.496072972536847,v
RNN,0.480908750850511,v
RNN,0.498670124069128,v
RNN,0.478560206447343,v
RNN,0.481733228407466,v
RNN,0.472603690876976,v
RNN,0.471707524084408,v
RNN,0.467775084503401,v
RNN,0.47143561535834,v
RNN,0.471760686996752,v
RNN,0.471861511411976,v
RNN,0.476798737471024,v
RNN,0.466482463750481,v
RNN,0.473038074155825,v
RNN,0.47087751747494,v
RNN,0.463525220456831,v
RNN,0.464726035374626,v
RNN,0.464119095557453,v
RNN,0.465465238544033,v
RNN,0.465987730605108,v
RNN,0.47109920007364,v
RNN,0.467657051187146,v
RNN,0.475901539496277,v
ETS,0.535014371078814,v
ARIMA,0.491023210287983,v
