Model_Name,SMAPE,x
RNN,0.283337747162148,v
RNN,0.286307741215916,v
RNN,0.283793972565487,v
RNN,0.283435018639181,v
RNN,0.295050548255238,v
RNN,0.256406402522637,v
RNN,0.29870736441768,v
RNN,0.286472225593538,v
RNN,0.274333564751007,v
RNN,0.287269474434069,v
RNN,0.252153725357817,v
RNN,0.279564965260503,v
RNN,0.287269477799089,v
RNN,0.256309847022717,v
RNN,0.248565256666981,v
RNN,0.287269429302245,v
RNN,0.265025685600228,v
RNN,0.244259215633965,v
RNN,0.287269473167478,v
RNN,0.256103343715735,v
RNN,0.277769184076201,v
RNN,0.286031413376513,v
RNN,0.325843242317527,v
RNN,0.259859418117773,v
RNN,0.286711041651534,v
RNN,0.306152121032417,v
RNN,0.265702297357412,v
RNN,0.218547633455007,v
RNN,0.219365174871658,v
RNN,0.221902131692841,v
RNN,0.221305015614678,v
RNN,0.215497168587209,v
RNN,0.216233801304806,v
RNN,0.239011190018996,v
RNN,0.23755442156104,v
RNN,0.236854757906039,v
RNN,0.234317887941128,v
RNN,0.250481867829026,v
RNN,0.219421904984975,v
RNN,0.229749087759762,v
RNN,0.216126159687078,v
RNN,0.215476163227687,v
RNN,0.229787487732376,v
RNN,0.225392139434834,v
RNN,0.231643138850983,v
ETS,0.215709236376705,v
ARIMA,0.334344814621686,v
