Model_Name,SMAPE,x
RNN,0.225877798430644,v
RNN,0.235696785479626,v
RNN,0.224458897876552,v
RNN,0.225997530001168,v
RNN,0.242116621672168,v
RNN,0.227060945219223,v
RNN,0.235474863460931,v
RNN,0.232257830744639,v
RNN,0.239120113368986,v
RNN,0.226743940556956,v
RNN,0.218205313263804,v
RNN,0.2275114580847,v
RNN,0.226743943188574,v
RNN,0.220917996046126,v
RNN,0.213074119403211,v
RNN,0.226743932258576,v
RNN,0.222739190873657,v
RNN,0.222437476570114,v
RNN,0.22674393974976,v
RNN,0.214240013130381,v
RNN,0.228322570435123,v
RNN,0.226345599312503,v
RNN,0.280156104725293,v
RNN,0.222485804543412,v
RNN,0.226247967760536,v
RNN,0.256654835615449,v
RNN,0.223883748042617,v
RNN,0.210844232611751,v
RNN,0.207805568170303,v
RNN,0.208190910147938,v
RNN,0.211525780208017,v
RNN,0.205690769980237,v
RNN,0.203168365039922,v
RNN,0.211904355057483,v
RNN,0.214012369593383,v
RNN,0.215006439015731,v
RNN,0.215186304825117,v
RNN,0.215195456605273,v
RNN,0.201793224575697,v
RNN,0.217150775785319,v
RNN,0.20148904437018,v
RNN,0.200375695316667,v
RNN,0.211705745466714,v
RNN,0.214518980356646,v
RNN,0.215848762773144,v
ETS,0.203517145415283,v
ARIMA,0.331549408238444,v
