Model_Name,MASE,x
RNN,1.08706306306306,v
RNN,1.11243243243243,v
RNN,1.08478828828829,v
RNN,1.08721171171171,v
RNN,1.16456306306306,v
RNN,1.03464414414414,v
RNN,1.13684234234234,v
RNN,1.11234684684685,v
RNN,1.11500900900901,v
RNN,1.08617117117117,v
RNN,1.00534684684685,v
RNN,1.09541891891892,v
RNN,1.08617117117117,v
RNN,1.03877477477478,v
RNN,0.997563063063063,v
RNN,1.08617117117117,v
RNN,1.0846981981982,v
RNN,1.01394594594595,v
RNN,1.08617117117117,v
RNN,1.01601351351351,v
RNN,1.0976036036036,v
RNN,1.08294144144144,v
RNN,1.32960810810811,v
RNN,1.03982432432432,v
RNN,1.08412162162162,v
RNN,1.25074774774775,v
RNN,1.05363963963964,v
RNN,0.872135135135135,v
RNN,0.874369369369369,v
RNN,0.885261261261261,v
RNN,0.884900900900901,v
RNN,0.860472972972973,v
RNN,0.8635,v
RNN,0.940369369369369,v
RNN,0.938238738738738,v
RNN,0.931878378378378,v
RNN,0.930806306306307,v
RNN,0.983445945945946,v
RNN,0.874378378378379,v
RNN,0.916963963963964,v
RNN,0.866950450450451,v
RNN,0.859554054054054,v
RNN,0.916846846846847,v
RNN,0.900031531531531,v
RNN,0.922828828828829,v
ETS,0.864873873873874,v
ARIMA,1.41568468468468,v
