Model_Name,MASE,x
RNN,0.946138888888889,v
RNN,1.006375,v
RNN,0.887215277777778,v
RNN,0.910076388888889,v
RNN,0.848111111111111,v
RNN,0.872402777777778,v
RNN,0.959034722222222,v
RNN,1.01609027777778,v
RNN,1.03234027777778,v
RNN,0.994854166666667,v
RNN,0.889423611111111,v
RNN,0.849680555555555,v
RNN,0.91225,v
RNN,0.8510625,v
RNN,0.856868055555556,v
RNN,0.978729166666667,v
RNN,0.812118055555555,v
RNN,0.938048611111111,v
RNN,0.886069444444444,v
RNN,0.844944444444444,v
RNN,0.897055555555556,v
RNN,1.02068055555556,v
RNN,0.903479166666667,v
RNN,0.826159722222222,v
RNN,0.888,v
RNN,0.819243055555555,v
RNN,0.891222222222222,v
RNN,0.820145833333333,v
RNN,0.849979166666667,v
RNN,0.819763888888889,v
RNN,0.818201388888889,v
RNN,0.815763888888889,v
RNN,0.8124375,v
RNN,0.830208333333333,v
RNN,0.826333333333333,v
RNN,0.83675,v
ETS,0.839930555555556,v
ARIMA,0.926777777777778,v
