Model_Name,Decoder,Dense_Layer
GRUcell_adagrad,46,4
GRUcell_adagrad,20,15
GRUcell_adagrad,26,8
GRUcell_adagrad,19,9
GRUcell_adagrad,36,16
GRUcell_adagrad,27,6
GRUcell_adagrad,37,34
GRUcell_adagrad,31,33
GRUcell_adagrad,23,38
