Model_Name,MASE,x
RNN,1.7425150273224,v
RNN,1.75678825136612,v
RNN,1.73804644808743,v
RNN,1.8116174863388,v
RNN,1.70575683060109,v
RNN,1.74937431693989,v
RNN,1.75713661202186,v
RNN,1.75753961748634,v
RNN,1.83356147540984,v
RNN,1.62034699453552,v
RNN,1.59099043715847,v
RNN,1.63225273224044,v
RNN,1.82354098360656,v
RNN,1.76393989071038,v
RNN,1.79640027322404,v
RNN,1.74258196721311,v
RNN,1.74596994535519,v
RNN,1.65030737704918,v
RNN,1.72081693989071,v
RNN,1.72951229508197,v
RNN,1.74009153005464,v
RNN,1.63841530054645,v
RNN,1.66273633879781,v
RNN,1.61759016393443,v
RNN,2.00860109289617,v
RNN,1.73973360655738,v
RNN,1.66106010928962,v
RNN,1.82779371584699,v
RNN,1.90173770491803,v
RNN,1.87045901639344,v
RNN,1.74423770491803,v
RNN,1.95821721311475,v
RNN,1.81093852459016,v
RNN,1.80723360655738,v
RNN,1.93704644808743,v
RNN,1.85370765027322,v
ETS,1.52621584699454,v
ARIMA,1.67968852459016,v
