Model_Name,Decoder,Dense_Layer
GRUcell_adagrad,46,53
GRUcell_adagrad,37,4
GRUcell_adagrad,10,14
GRUcell_adagrad,46,52
GRUcell_adagrad,32,15
GRUcell_adagrad,54,36
GRUcell_adagrad,49,30
GRUcell_adagrad,39,20
GRUcell_adagrad,33,23
