Model_Name,SMAPE,x
RNN,0.473497366089007,v
RNN,0.464567362403187,v
RNN,0.444745696067173,v
RNN,0.473497366089007,v
RNN,0.457293581436501,v
RNN,0.479274310329765,v
RNN,0.473609372746219,v
RNN,0.466742886761484,v
RNN,0.46602564251371,v
RNN,0.473497366089007,v
RNN,0.474083092032804,v
RNN,0.459875803377452,v
RNN,0.476969294344421,v
RNN,0.445251725422362,v
RNN,0.441918934627899,v
RNN,0.473649065865197,v
RNN,0.469651748506801,v
RNN,0.473204970759374,v
RNN,0.477335292332486,v
RNN,0.449435183817118,v
RNN,0.468073402983831,v
RNN,0.470796668683022,v
RNN,0.463997019538683,v
RNN,0.452610763814816,v
RNN,0.463326698237249,v
RNN,0.453181215518025,v
RNN,0.451224514731777,v
RNN,0.446883349988124,v
RNN,0.446792394817327,v
RNN,0.44540474613193,v
RNN,0.444081897037214,v
RNN,0.445624267112413,v
RNN,0.447708337915026,v
RNN,0.449640920652529,v
RNN,0.444646882068127,v
RNN,0.448359202152074,v
RNN,0.446664944011992,v
RNN,0.440243991172131,v
RNN,0.44120915612833,v
RNN,0.44092683242667,v
RNN,0.438701851496885,v
RNN,0.440420044642917,v
RNN,0.444907600328917,v
RNN,0.442236256803468,v
RNN,0.448365411543846,v
ETS,0.476291756408999,v
ARIMA,0.455143402901905,v
