Model_Name,MASE,x
RNN,1.47933215757229,v
RNN,1.42345433306684,v
RNN,1.483617594328,v
RNN,1.52597350216988,v
RNN,1.44682375101248,v
RNN,1.50603106383351,v
RNN,1.51667105457173,v
RNN,1.44556658560316,v
RNN,1.6165393166893,v
RNN,1.42956349529971,v
RNN,1.37942917850821,v
RNN,1.43636315854891,v
RNN,1.57094096098783,v
RNN,1.54474736195715,v
RNN,1.53531439845489,v
RNN,1.50988013354388,v
RNN,1.47073711565935,v
RNN,1.43294735363941,v
RNN,1.50557601455388,v
RNN,1.46715700079409,v
RNN,1.51095121219985,v
RNN,1.43921522881236,v
RNN,1.45122163744387,v
RNN,1.38303805135584,v
RNN,1.58319548522701,v
RNN,1.46266886111376,v
RNN,1.41086031568055,v
RNN,1.53518060220549,v
RNN,1.55104827913764,v
RNN,1.53715163826614,v
RNN,1.47636592248832,v
RNN,1.59776147430147,v
RNN,1.49470645745,v
RNN,1.5002544444187,v
RNN,1.5791488924398,v
RNN,1.52927129227913,v
ETS,1.2755,v
ARIMA,1.369,v
