Model_Name,MASE,x
RNN,0.924836452159182,v
RNN,0.972983048530621,v
RNN,0.868757213093069,v
RNN,0.905201317684453,v
RNN,0.838990142355298,v
RNN,0.865491396412565,v
RNN,0.894274009313988,v
RNN,0.973664313312688,v
RNN,0.989896604664313,v
RNN,0.935736272035487,v
RNN,0.849061111553944,v
RNN,0.845463242728762,v
RNN,0.900342154213434,v
RNN,0.839102043738586,v
RNN,0.858556309584693,v
RNN,0.951775131817029,v
S2SD_LSTM_MW_Adam,0.802328845123881,v
RNN,0.938219390844709,v
RNN,0.866827084826859,v
RNN,0.805378997030083,v
RNN,0.895133411920151,v
RNN,1.02012600635213,v
RNN,0.877994848737266,v
RNN,0.819557250026246,v
RNN,0.860992669694998,v
RNN,0.802544952337594,v
RNN,0.87200148464975,v
RNN,0.819301590681792,v
RNN,0.840315303763421,v
RNN,0.819344730904088,v
RNN,0.807745840475975,v
RNN,0.815814900667197,v
Stacked_LSTM_COCOB,0.812124949037822,v
RNN,0.816084734557155,v
RNN,0.8244881071868,v
RNN,0.824729447031223,v
ETS,0.839930555555556,v
ARIMA,0.926777777777778,v
