Model_Name,SMAPE,x
RNN,0.473497366089007,v
RNN,0.462559614979016,v
RNN,0.439536832964499,v
RNN,0.473497366089007,v
RNN,0.450430562377913,v
RNN,0.478667007099236,v
RNN,0.471095609812252,v
RNN,0.464698690040003,v
RNN,0.452530999635177,v
RNN,0.473497366089007,v
RNN,0.474083092032804,v
RNN,0.458920039065409,v
RNN,0.476969294344421,v
RNN,0.44476991722986,v
RNN,0.441368760113605,v
RNN,0.473621235303888,v
RNN,0.469466833287766,v
RNN,0.472945374881344,v
RNN,0.476657948409382,v
RNN,0.447598006950196,v
RNN,0.463322451294767,v
RNN,0.471173332940797,v
RNN,0.459805109537928,v
RNN,0.452513469163257,v
RNN,0.462431719375691,v
RNN,0.452630819869702,v
RNN,0.447962672072579,v
RNN,0.447043068744624,v
RNN,0.445100876329195,v
RNN,0.445036191597834,v
RNN,0.444279192525482,v
RNN,0.443892724832359,v
RNN,0.446452733535755,v
RNN,0.45019988940827,v
RNN,0.443162894363143,v
RNN,0.449101582498846,v
RNN,0.446778246698969,v
RNN,0.440178155002558,v
RNN,0.440922533478305,v
RNN,0.440004614689551,v
RNN,0.43775244218205,v
RNN,0.440606896760335,v
RNN,0.443963587188689,v
RNN,0.441677394625747,v
RNN,0.447870337684739,v
ETS,0.476291756408999,v
ARIMA,0.455143402901905,v
