Model_Name,Mean_SMAPE_Rank,Optimizer,Dataset,x,Model_Name_2
seq2seqwithdenselayer_mw_GRU,5,Adagrad,M3,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,28,Adagrad,M3,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,9,Adagrad,M3,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,32,Adagrad,M3,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,7,Adagrad,M3,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,26,Adagrad,M3,y,S2SD_ERNN
stacking_GRU,4,Adagrad,M3,y,Stacked_GRU
stacking_LSTM,2,Adagrad,M3,y,Stacked_LSTM
stacking_ERNN,6,Adagrad,M3,y,Stacked_ERNN
seq2seq_GRU,20,Adam,M3,y,S2S_GRU
seq2seq_LSTM,34,Adam,M3,y,S2S_LSTM
seq2seq_ERNN,27,Adam,M3,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,29,Adam,M3,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,11,Adam,M3,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,21,Adam,M3,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,22,Adam,M3,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,24,Adam,M3,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,25,Adam,M3,y,S2SD_ERNN
stacking_GRU,18,Adam,M3,y,Stacked_GRU
stacking_LSTM,1,Adam,M3,y,Stacked_LSTM
stacking_ERNN,14,Adam,M3,y,Stacked_ERNN
seq2seq_GRU,35,Cocob,M3,y,S2S_GRU
seq2seq_LSTM,13,Cocob,M3,y,S2S_LSTM
seq2seq_ERNN,30,Cocob,M3,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,19,Cocob,M3,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,16,Cocob,M3,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,10,Cocob,M3,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,12,Cocob,M3,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,23,Cocob,M3,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,31,Cocob,M3,y,S2SD_ERNN
stacking_GRU,8,Cocob,M3,y,Stacked_GRU
stacking_LSTM,3,Cocob,M3,y,Stacked_LSTM
stacking_ERNN,17,Cocob,M3,y,Stacked_ERNN
seq2seq_GRU,28,Adagrad,NN5,y,S2S_GRU
seq2seq_LSTM,29,Adagrad,NN5,y,S2S_LSTM
seq2seq_ERNN,30,Adagrad,NN5,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,26,Adagrad,NN5,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,27,Adagrad,NN5,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,24,Adagrad,NN5,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,25,Adagrad,NN5,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,21,Adagrad,NN5,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,22,Adagrad,NN5,y,S2SD_ERNN
stacking_GRU,3,Adagrad,NN5,y,Stacked_GRU
stacking_LSTM,5,Adagrad,NN5,y,Stacked_LSTM
stacking_ERNN,9,Adagrad,NN5,y,Stacked_ERNN
seq2seq_GRU,35,Adam,NN5,y,S2S_GRU
seq2seq_LSTM,34,Adam,NN5,y,S2S_LSTM
seq2seq_ERNN,32,Adam,NN5,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,14,Adam,NN5,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,11,Adam,NN5,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,19,Adam,NN5,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,13,Adam,NN5,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,20,Adam,NN5,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,36,Adam,NN5,y,S2SD_ERNN
stacking_GRU,4,Adam,NN5,y,Stacked_GRU
stacking_LSTM,1,Adam,NN5,y,Stacked_LSTM
stacking_ERNN,8,Adam,NN5,y,Stacked_ERNN
seq2seq_GRU,23,Cocob,NN5,y,S2S_GRU
seq2seq_LSTM,10,Cocob,NN5,y,S2S_LSTM
seq2seq_ERNN,18,Cocob,NN5,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,31,Cocob,NN5,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,12,Cocob,NN5,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,15,Cocob,NN5,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,33,Cocob,NN5,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,16,Cocob,NN5,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,17,Cocob,NN5,y,S2SD_ERNN
stacking_GRU,6,Cocob,NN5,y,Stacked_GRU
stacking_LSTM,2,Cocob,NN5,y,Stacked_LSTM
stacking_ERNN,7,Cocob,NN5,y,Stacked_ERNN
seq2seq_GRU,19,Adagrad,Tourism,y,S2S_GRU
seq2seq_LSTM,27,Adagrad,Tourism,y,S2S_LSTM
seq2seq_ERNN,22,Adagrad,Tourism,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,3,Adagrad,Tourism,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,29,Adagrad,Tourism,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,18,Adagrad,Tourism,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,13,Adagrad,Tourism,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,5,Adagrad,Tourism,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,30,Adagrad,Tourism,y,S2SD_ERNN
stacking_GRU,31,Adagrad,Tourism,y,Stacked_GRU
stacking_LSTM,20,Adagrad,Tourism,y,Stacked_LSTM
stacking_ERNN,26,Adagrad,Tourism,y,Stacked_ERNN
seq2seq_GRU,15,Adam,Tourism,y,S2S_GRU
seq2seq_LSTM,10,Adam,Tourism,y,S2S_LSTM
seq2seq_ERNN,16,Adam,Tourism,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,1,Adam,Tourism,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,23,Adam,Tourism,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,11,Adam,Tourism,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,12,Adam,Tourism,y,S2SD_LSTM
