Model_Name,Mean_MASE,x
ARIMA,0.888876920391061,v
ETS,0.896016410614525,v
RNN,1.00285963687151,v
RNN,2.01076536312849,v
RNN,1.29497922486034,v
RNN,3.26332716480447,v
RNN,1.46820687849162,v
RNN,1.05615118715084,v
RNN,1.09039944134078,v
RNN,1.07055865921788,v
RNN,1.09382751396648,v
RNN,0.939276361731844,v
RNN,0.966669867318436,v
RNN,0.975339210893855,v
RNN,1.06932472067039,v
RNN,1.87076099860335,v
RNN,1.08182856145251,v
RNN,0.951881284916201,v
RNN,0.96597032122905,v
RNN,1.01549301675978,v
RNN,1.00584392458101,v
RNN,0.949372730446928,v
RNN,1.01796124301676,v
RNN,0.962480097765363,v
RNN,1.0096187150838,v
RNN,1.17005708798883,v
RNN,1.05409741620112,v
RNN,1.04372154329609,v
RNN,1.02731284916201,v
RNN,0.980024965083799,v
RNN,1.01901169692737,v
RNN,1.01422224162011,v
RNN,0.967840083798883,v
RNN,0.998116794692737,v
RNN,1.00618662709497,v
RNN,1.0108873952514,v
RNN,1.03988966480447,v
RNN,1.04775645949721,v
