Model_Name,Mean_MASE,x
ARIMA,1.0555365431874,v
ETS,0.976038044962228,v
RNN,1.19105624829344,v
RNN,1.19652662237189,v
RNN,1.09674879402931,v
RNN,1.09778574679166,v
RNN,1.16672922544826,v
RNN,1.60488568308,v
RNN,1.10420105579321,v
RNN,1.1631451715664,v
RNN,1.05533721671066,v
RNN,1.06326731591881,v
RNN,1.08529216346591,v
RNN,1.05556239191772,v
RNN,1.12786329298262,v
RNN,1.16392982615819,v
RNN,1.17916656048057,v
RNN,1.06810821880404,v
RNN,1.08008155092382,v
RNN,1.05426831710203,v
RNN,1.13274378811322,v
RNN,1.16950641667425,v
RNN,1.16826886320197,v
RNN,1.07792090652589,v
RNN,1.09652216255575,v
RNN,1.08925484663693,v
RNN,1.13945308091381,v
RNN,1.17877691817603,v
RNN,1.15149449349231,v
RNN,1.19692645854191,v
RNN,1.14867061072176,v
RNN,1.1393145535633,v
RNN,1.14971966869937,v
RNN,1.14106462182579,v
RNN,1.13437198507327,v
RNN,1.19371766633294,v
RNN,1.15598225175207,v
RNN,1.14590161099481,v
