Model_Name,Median_MASE,x
ARIMA,0.76,v
ETS,0.774,v
RNN,0.8785,v
RNN,1.7315,v
RNN,1.121,v
RNN,2.918,v
RNN,1.264,v
RNN,0.905,v
RNN,0.9485,v
RNN,0.935,v
RNN,0.954,v
RNN,0.811,v
RNN,0.81,v
RNN,0.8215,v
RNN,0.935,v
RNN,1.495,v
RNN,0.946,v
RNN,0.811,v
RNN,0.808,v
RNN,0.834,v
RNN,0.882,v
RNN,0.825,v
RNN,0.893,v
RNN,0.835,v
RNN,0.827,v
RNN,0.911,v
RNN,0.919,v
RNN,0.916,v
RNN,0.902,v
RNN,0.824,v
RNN,0.843,v
RNN,0.836,v
RNN,0.8145,v
RNN,0.83,v
RNN,0.83,v
RNN,0.834,v
RNN,0.85,v
RNN,0.856,v
