Model_Name,SMAPE,x
RNN,0.283330483887622,v
RNN,0.286134811068881,v
RNN,0.283580193199688,v
RNN,0.28340168857476,v
RNN,0.28041783998532,v
RNN,0.247727342207318,v
RNN,0.289932778423538,v
RNN,0.28324558075068,v
RNN,0.263454806345018,v
RNN,0.287269475273675,v
RNN,0.2516944427297,v
RNN,0.279165052980596,v
RNN,0.287269477778782,v
RNN,0.254157985069611,v
RNN,0.247952786350865,v
RNN,0.287269429006478,v
RNN,0.260044275271435,v
RNN,0.242900821104632,v
RNN,0.287269473507246,v
RNN,0.253604278831329,v
RNN,0.278205319081189,v
RNN,0.285791678989034,v
RNN,0.274878135186755,v
RNN,0.255754976650407,v
RNN,0.286524460778885,v
RNN,0.290964490224793,v
RNN,0.263731095006385,v
RNN,0.218434798437395,v
RNN,0.219299750656137,v
RNN,0.22177788135852,v
RNN,0.221227101928423,v
RNN,0.215291219809626,v
RNN,0.216131973105569,v
RNN,0.238324570005347,v
RNN,0.235294134433138,v
RNN,0.235936280932102,v
RNN,0.234317689819984,v
RNN,0.249624575389615,v
RNN,0.219235364278972,v
RNN,0.229738466944847,v
RNN,0.215929382760329,v
RNN,0.215394989582986,v
RNN,0.229628738121379,v
RNN,0.224953004977883,v
RNN,0.231259997916866,v
ETS,0.215709236376705,v
ARIMA,0.334344814621686,v
