Model_Name,MASE,x
RNN,1.08700720285701,v
RNN,1.1113503554909,v
RNN,1.08353333803988,v
RNN,1.08700984373372,v
RNN,1.09307477407989,v
RNN,0.99392110784879,v
RNN,1.08757735174874,v
RNN,1.09148401402142,v
RNN,1.05678552891946,v
RNN,1.08617750117859,v
RNN,1.00182701623164,v
RNN,1.09128560900074,v
RNN,1.0861775057112,v
RNN,0.994311151092426,v
RNN,0.994932001856256,v
RNN,1.08617735095008,v
RNN,1.06073253839713,v
RNN,1.00542216297909,v
RNN,1.0861774915148,v
RNN,1.00055393103659,v
RNN,1.09259840862845,v
RNN,1.0815399145651,v
RNN,1.08136364743617,v
RNN,1.02077909324888,v
RNN,1.08337207026484,v
RNN,1.16006998790651,v
RNN,1.04328853942465,v
RNN,0.871676426077589,v
RNN,0.874296219855568,v
RNN,0.884752440605575,v
RNN,0.884677249317687,v
RNN,0.859723354694776,v
RNN,0.862998668105976,v
RNN,0.937110202713806,v
RNN,0.928574282752883,v
RNN,0.926893308422261,v
RNN,0.930797726108534,v
RNN,0.979811448178033,v
RNN,0.873586444326493,v
RNN,0.916956028361483,v
RNN,0.866132319205807,v
RNN,0.859161558718666,v
RNN,0.916141867888118,v
RNN,0.898134291414171,v
RNN,0.921480873448251,v
ETS,0.864873873873874,v
ARIMA,1.41568468468468,v
