Model_Name,Median_SMAPE,x
ARIMA,0.096056617896064,v
ETS,0.09700159220796,v
RNN,0.100674962545282,v
RNN,0.110995173829858,v
RNN,0.101745470462762,v
RNN,0.100534933776496,v
RNN,0.107058781185247,v
RNN,0.100873752316197,v
RNN,0.10198380215873,v
RNN,0.105781541003583,v
RNN,0.102694920711357,v
RNN,0.100675128527917,v
RNN,0.101998909373177,v
RNN,0.103377818276765,v
RNN,0.101102335572916,v
RNN,0.103582223278715,v
RNN,0.104648334942174,v
RNN,0.100675127519046,v
RNN,0.101843185017842,v
RNN,0.105916426066868,v
RNN,0.101199633948145,v
RNN,0.10356924224111,v
RNN,0.104717290053298,v
RNN,0.100922124833164,v
RNN,0.103169518607301,v
RNN,0.102337368012643,v
RNN,0.100881042350876,v
RNN,0.127431530822782,v
RNN,0.101464956532011,v
RNN,0.10422560733995,v
RNN,0.105625565200735,v
RNN,0.114040844641063,v
RNN,0.103807255576765,v
RNN,0.106280505048057,v
RNN,0.10410448246819,v
RNN,0.108592204204207,v
RNN,0.108030309979597,v
RNN,0.103951228225073,v
