Model_Name,Mean_SMAPE_Rank,Optimizer,Dataset,x,Model_Name_2
seq2seqwithdenselayer_mw_GRU,1,Adagrad,M3,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,4,Adagrad,M3,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,2,Adagrad,M3,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,11,Adagrad,M3,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,3,Adagrad,M3,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,33,Adagrad,M3,y,S2SD_ERNN
stacking_GRU,19,Adagrad,M3,y,Stacked_GRU
stacking_LSTM,7,Adagrad,M3,y,Stacked_LSTM
stacking_ERNN,25,Adagrad,M3,y,Stacked_ERNN
seq2seq_GRU,16,Adam,M3,y,S2S_GRU
seq2seq_LSTM,30,Adam,M3,y,S2S_LSTM
seq2seq_ERNN,20,Adam,M3,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,31,Adam,M3,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,9,Adam,M3,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,22,Adam,M3,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,13,Adam,M3,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,28,Adam,M3,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,32,Adam,M3,y,S2SD_ERNN
stacking_GRU,29,Adam,M3,y,Stacked_GRU
stacking_LSTM,12,Adam,M3,y,Stacked_LSTM
stacking_ERNN,24,Adam,M3,y,Stacked_ERNN
seq2seq_GRU,27,Cocob,M3,y,S2S_GRU
seq2seq_LSTM,18,Cocob,M3,y,S2S_LSTM
seq2seq_ERNN,17,Cocob,M3,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,10,Cocob,M3,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,8,Cocob,M3,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,15,Cocob,M3,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,6,Cocob,M3,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,26,Cocob,M3,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,35,Cocob,M3,y,S2SD_ERNN
stacking_GRU,21,Cocob,M3,y,Stacked_GRU
stacking_LSTM,14,Cocob,M3,y,Stacked_LSTM
stacking_ERNN,34,Cocob,M3,y,Stacked_ERNN
seq2seq_GRU,25,Adagrad,NN5,y,S2S_GRU
seq2seq_LSTM,26,Adagrad,NN5,y,S2S_LSTM
seq2seq_ERNN,35,Adagrad,NN5,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,33,Adagrad,NN5,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,34,Adagrad,NN5,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,31,Adagrad,NN5,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,32,Adagrad,NN5,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,28,Adagrad,NN5,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,30,Adagrad,NN5,y,S2SD_ERNN
stacking_GRU,3,Adagrad,NN5,y,Stacked_GRU
stacking_LSTM,5,Adagrad,NN5,y,Stacked_LSTM
stacking_ERNN,9,Adagrad,NN5,y,Stacked_ERNN
seq2seq_GRU,29,Adam,NN5,y,S2S_GRU
seq2seq_LSTM,23,Adam,NN5,y,S2S_LSTM
seq2seq_ERNN,24,Adam,NN5,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,13,Adam,NN5,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,15,Adam,NN5,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,17,Adam,NN5,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,14,Adam,NN5,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,20,Adam,NN5,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,36,Adam,NN5,y,S2SD_ERNN
stacking_GRU,4,Adam,NN5,y,Stacked_GRU
stacking_LSTM,1,Adam,NN5,y,Stacked_LSTM
stacking_ERNN,7,Adam,NN5,y,Stacked_ERNN
seq2seq_GRU,27,Cocob,NN5,y,S2S_GRU
seq2seq_LSTM,11,Cocob,NN5,y,S2S_LSTM
