Model_Name,Mean_SMAPE,x
ARIMA,0.150450392993856,v
ETS,0.161298112983316,v
RNN,0.14585417896182,v
RNN,0.165034766500458,v
RNN,0.14610356602015,v
RNN,0.145834788325016,v
RNN,0.158495395804999,v
RNN,0.147040796098798,v
RNN,0.148909865220834,v
RNN,0.15673182771576,v
RNN,0.149783446489723,v
RNN,0.145854291106112,v
RNN,0.150581146824667,v
RNN,0.150031405316655,v
RNN,0.14648597617561,v
RNN,0.150228126990245,v
RNN,0.151246250621336,v
RNN,0.145854291001079,v
RNN,0.150255691009559,v
RNN,0.151512476948539,v
RNN,0.146672316513998,v
RNN,0.149923063168446,v
RNN,0.150571451290812,v
RNN,0.146003876829421,v
RNN,0.151187918337365,v
RNN,0.148390422789521,v
RNN,0.147120463255424,v
RNN,0.179185814382274,v
RNN,0.146037479608329,v
RNN,0.155202492795432,v
RNN,0.155162733872909,v
RNN,0.170158670215996,v
RNN,0.152363306424142,v
RNN,0.155452132774114,v
RNN,0.144986706860911,v
RNN,0.155961930928265,v
RNN,0.160140761357918,v
RNN,0.149523767972985,v
