Model_Name,Median_SMAPE,x
ARIMA,0.027593299930236,v
ETS,0.027918322185254,v
RNN,0.031244214689569,v
RNN,0.057887725759466,v
RNN,0.039421953399314,v
RNN,0.10168468940137,v
RNN,0.04481720686724,v
RNN,0.03203019991279,v
RNN,0.033615822726871,v
RNN,0.033028902341511,v
RNN,0.03381404413657,v
RNN,0.029425844605509,v
RNN,0.029449889176819,v
RNN,0.029733031613481,v
RNN,0.03302072319089,v
RNN,0.05816591818592,v
RNN,0.033021155210741,v
RNN,0.029474685734455,v
RNN,0.029282492859685,v
RNN,0.030523684773064,v
RNN,0.031339164081331,v
RNN,0.029709408309019,v
RNN,0.031682951309815,v
RNN,0.029881306984047,v
RNN,0.030482728582698,v
RNN,0.034776155092947,v
RNN,0.03267815501178,v
RNN,0.032525323869523,v
RNN,0.031995301884459,v
RNN,0.030112626826846,v
RNN,0.031051727429185,v
RNN,0.03093603586227,v
RNN,0.029543092499589,v
RNN,0.030492361858079,v
RNN,0.030549042583695,v
RNN,0.030973286477094,v
RNN,0.031941108645502,v
RNN,0.031810475895728,v
