Model_Name,Mean_SMAPE,x
ARIMA,0.131861187698603,v
ETS,0.129057104509964,v
RNN,0.138624240053385,v
RNN,0.131550020425446,v
RNN,0.134907446423867,v
RNN,0.155483543778251,v
RNN,0.130886052682406,v
RNN,0.152199178419116,v
RNN,0.132892632440527,v
RNN,0.137916557720038,v
RNN,0.132197729284035,v
RNN,0.132258789739747,v
RNN,0.140250506648691,v
RNN,0.131767335983139,v
RNN,0.142473040533147,v
RNN,0.14372629845163,v
RNN,0.149599166053785,v
RNN,0.132269499870027,v
RNN,0.132191132756835,v
RNN,0.132631232441963,v
RNN,0.139753184667647,v
RNN,0.147110171905645,v
RNN,0.151901016356457,v
RNN,0.136545618390496,v
RNN,0.136510953337124,v
RNN,0.134579261746273,v
RNN,0.138949494726984,v
RNN,0.134381649538896,v
RNN,0.145648262275869,v
RNN,0.132273249220638,v
RNN,0.143244290479778,v
RNN,0.14118376206425,v
RNN,0.131380687461465,v
RNN,0.140542697216948,v
RNN,0.13899298545234,v
RNN,0.143490933530296,v
RNN,0.142626148099191,v
RNN,0.142539764533768,v
