Model_Name,Mean_MASE,x
ARIMA,0.954710063897764,v
ETS,0.951131190095846,v
RNN,1.04055511182109,v
RNN,1.51432527955272,v
RNN,1.22219179313099,v
RNN,1.0401883985623,v
RNN,1.20059355031949,v
RNN,1.16781479632588,v
RNN,1.89702645766773,v
RNN,1.07894548722045,v
RNN,1.39176058306709,v
RNN,1.04018310702875,v
RNN,1.16906978833866,v
RNN,1.20882178514377,v
RNN,1.05980281549521,v
RNN,1.03840964456869,v
RNN,1.04940904552716,v
RNN,1.03959634584665,v
RNN,1.16349750399361,v
RNN,1.06274900159744,v
RNN,1.06328334664537,v
RNN,1.02491004392971,v
RNN,1.0568927715655,v
RNN,1.04020057907348,v
RNN,1.22497284345048,v
RNN,1.33489856230032,v
RNN,1.14687729632588,v
RNN,1.06196954872204,v
RNN,1.12319968051118,v
RNN,1.22880920527157,v
RNN,1.32217352236422,v
RNN,1.33231859025559,v
RNN,1.16568420527157,v
RNN,1.30317302316294,v
RNN,1.44747653753994,v
RNN,1.37765595047923,v
RNN,1.40241463658147,v
RNN,1.44716263977636,v
