Model_Name,Median_SMAPE,x
ARIMA,0.088066850253872,v
ETS,0.08883363487543,v
RNN,0.096956023423464,v
RNN,0.104659068561009,v
RNN,0.098658320491102,v
RNN,0.096999782903453,v
RNN,0.097819524531238,v
RNN,0.098516042764228,v
RNN,0.115985802120022,v
RNN,0.096983355926902,v
RNN,0.10177889000418,v
RNN,0.097000246168412,v
RNN,0.101705134406266,v
RNN,0.101853935950853,v
RNN,0.097417062806258,v
RNN,0.097400799966733,v
RNN,0.097952769700466,v
RNN,0.096977729932657,v
RNN,0.100959728035497,v
RNN,0.096545287201988,v
RNN,0.097268976639738,v
RNN,0.096448697596436,v
RNN,0.097460273401208,v
RNN,0.096802937661609,v
RNN,0.103448245635283,v
RNN,0.107232264673511,v
RNN,0.098875311974048,v
RNN,0.098520547075694,v
RNN,0.098308696966349,v
RNN,0.105196686884189,v
RNN,0.108112902205402,v
RNN,0.10848411652097,v
RNN,0.101956439539398,v
RNN,0.107005776220484,v
RNN,0.112809417048006,v
RNN,0.109761744268962,v
RNN,0.108840921961746,v
RNN,0.113076512266703,v
