Model_Name,SMAPE,x
RNN,0.135326135301038,v
RNN,0.145210296234407,v
RNN,0.1361484981087,v
RNN,0.141290751592896,v
RNN,0.139852745945638,v
RNN,0.140196736374147,v
RNN,0.142424438983733,v
RNN,0.138623584240739,v
RNN,0.137977084256881,v
S2SD_GRU_MW_Adagrad,0.133776992936489,v
RNN,0.137891010981814,v
RNN,0.135743751460807,v
RNN,0.135127549297272,v
RNN,0.139245646066475,v
RNN,0.137536090236257,v
RNN,0.133895231802012,v
RNN,0.137602388671728,v
RNN,0.135933774786814,v
RNN,0.135038659419739,v
RNN,0.136161724201319,v
RNN,0.136606636017396,v
RNN,0.134173889924481,v
RNN,0.138268239946442,v
RNN,0.140146415523463,v
RNN,0.135173064669112,v
RNN,0.143238856708362,v
RNN,0.135698992250192,v
RNN,0.141512820584192,v
RNN,0.14292191128717,v
RNN,0.145747911340974,v
RNN,0.139726729761529,v
RNN,0.142265975662531,v
Stacked_LSTM_COCOB,0.141276879592388,v
RNN,0.142963461954076,v
RNN,0.145144868835132,v
RNN,0.142372418845671,v
ETS,0.135251272391871,v
ARIMA,0.130837998658256,v
