Model_Name,MASE,x
RNN,1.74214827116032,v
RNN,1.73733198054732,v
RNN,1.73549424218209,v
RNN,1.80960985906048,v
RNN,1.69644086462456,v
RNN,1.74929461460101,v
RNN,1.75203198951284,v
RNN,1.73904054131702,v
RNN,1.79651206670063,v
RNN,1.62001289959221,v
RNN,1.58583085026563,v
RNN,1.63115939405803,v
RNN,1.8237607145231,v
RNN,1.76513374064808,v
RNN,1.79848365363355,v
RNN,1.74157026729292,v
RNN,1.70629643988951,v
RNN,1.65194300129482,v
RNN,1.72169285686126,v
RNN,1.71055166368169,v
RNN,1.74068788947696,v
RNN,1.63154114014332,v
RNN,1.65099632420841,v
RNN,1.59580722380345,v
RNN,1.82657860070033,v
RNN,1.68621120377271,v
RNN,1.63258909368821,v
RNN,1.8280054480197,v
RNN,1.89420908124801,v
RNN,1.86910360186883,v
RNN,1.7442790409488,v
RNN,1.949607178932,v
RNN,1.8104823902202,v
RNN,1.80462485302196,v
RNN,1.93620536845107,v
RNN,1.85053090469633,v
ETS,1.52621584699454,v
ARIMA,1.67968852459016,v
