Model_Name,MASE,x
RNN,0.898986357021738,v
RNN,0.871217164217318,v
RNN,0.811985507175321,v
RNN,0.898986357021738,v
RNN,0.834885950473021,v
RNN,0.90625021913985,v
RNN,0.886929491765923,v
RNN,0.884920627053219,v
RNN,0.841365613728749,v
RNN,0.898986357021738,v
RNN,0.901487991915553,v
RNN,0.85369116409924,v
RNN,0.916439241597242,v
RNN,0.805105826798212,v
RNN,0.80537030803809,v
RNN,0.899915371776488,v
RNN,0.887690517867054,v
RNN,0.902724839834563,v
RNN,0.920619659776389,v
RNN,0.811592062432431,v
RNN,0.864208497576993,v
RNN,0.897626317147273,v
RNN,0.854434896103342,v
RNN,0.81843924532807,v
RNN,0.859860739640711,v
RNN,0.823177096277151,v
RNN,0.820432357043236,v
RNN,0.81834784739081,v
RNN,0.815123859191656,v
RNN,0.811935763192919,v
RNN,0.813092770449956,v
RNN,0.816830776431961,v
Stacked_LSTM_COCOB,0.821084372178662,v
RNN,0.822224767140021,v
RNN,0.810522771177579,v
RNN,0.818675943634725,v
RNN,0.814059051347187,v
RNN,0.7984990428863,v
Stacked_GRU_COCOB(IW+),0.796565031934821,v
RNN,0.803910557484174,v
RNN,0.796648778039458,v
Stacked_LSTM_COCOB(IW+),0.797786278001275,v
RNN,0.808920076155442,v
RNN,0.80284156889123,v
RNN,0.819668311264652,v
ETS,0.913,v
ARIMA,0.818,v
