Model_Name,MASE,x
RNN,1.07615669015989,v
RNN,0.89819338367997,v
RNN,0.935283705446262,v
RNN,0.892683462635011,v
RNN,0.934774536519187,v
RNN,0.891933194639031,v
RNN,0.931708881698444,v
RNN,0.908779858581503,v
RNN,0.91221069340217,v
RNN,0.875481347240297,v
RNN,0.911949906638119,v
RNN,0.896766698799013,v
RNN,0.90888678445858,v
RNN,0.889980301992938,v
RNN,0.892824937392232,v
RNN,0.883070433494194,v
RNN,0.901434408053445,v
RNN,0.889501943337649,v
RNN,0.920255722073172,v
RNN,0.902046298625579,v
RNN,0.891901845715128,v
RNN,0.878913773916832,v
RNN,0.902830432515669,v
RNN,0.902526896400672,v
RNN,0.907917685493875,v
RNN,0.903451312104466,v
RNN,0.916123341114932,v
RNN,0.87492032799028,v
RNN,0.895195444811979,v
RNN,0.880070859693433,v
RNN,0.863142195146275,v
RNN,0.861869321108075,v
RNN,0.869785063123429,v
RNN,0.87852559101772,v
RNN,0.892161764891776,v
RNN,0.893023033694318,v
ETS,0.865041316526611,v
ARIMA,0.871918067226891,v
