Model_Name,Mean_SMAPE_Rank,RNN_Unit,Dataset,x
stacking_cocob,8,LSTM,Wikipedia Web Traffic,y
seq2seq_adagrad,26,ERNN,Wikipedia Web Traffic,y
seq2seq_adam,24,ERNN,Wikipedia Web Traffic,y
seq2seq_cocob,18,ERNN,Wikipedia Web Traffic,y
seq2seqwithdenselayer_mw_adagrad,27,ERNN,Wikipedia Web Traffic,y
seq2seqwithdenselayer_mw_adam,19,ERNN,Wikipedia Web Traffic,y
seq2seqwithdenselayer_mw_cocob,16,ERNN,Wikipedia Web Traffic,y
seq2seqwithdenselayer_nmw_adagrad,21,ERNN,Wikipedia Web Traffic,y
seq2seqwithdenselayer_nmw_adam,13,ERNN,Wikipedia Web Traffic,y
seq2seqwithdenselayer_nmw_cocob,15,ERNN,Wikipedia Web Traffic,y
stacking_adagrad,14,ERNN,Wikipedia Web Traffic,y
stacking_adam,1,ERNN,Wikipedia Web Traffic,y
stacking_cocob,12,ERNN,Wikipedia Web Traffic,y
seq2seq_adagrad,36,GRU,M3,y
seq2seq_adam,16,GRU,M3,y
seq2seq_cocob,27,GRU,M3,y
seq2seqwithdenselayer_mw_adagrad,1,GRU,M3,y
seq2seqwithdenselayer_mw_adam,31,GRU,M3,y
seq2seqwithdenselayer_mw_cocob,10,GRU,M3,y
seq2seqwithdenselayer_nmw_adagrad,4,GRU,M3,y
seq2seqwithdenselayer_nmw_adam,9,GRU,M3,y
seq2seqwithdenselayer_nmw_cocob,8,GRU,M3,y
stacking_adagrad,19,GRU,M3,y
stacking_adam,29,GRU,M3,y
stacking_cocob,21,GRU,M3,y
seq2seq_adagrad,5,LSTM,M3,y
seq2seq_adam,30,LSTM,M3,y
seq2seq_cocob,18,LSTM,M3,y
seq2seqwithdenselayer_mw_adagrad,2,LSTM,M3,y
seq2seqwithdenselayer_mw_adam,22,LSTM,M3,y
seq2seqwithdenselayer_mw_cocob,15,LSTM,M3,y
seq2seqwithdenselayer_nmw_adagrad,11,LSTM,M3,y
seq2seqwithdenselayer_nmw_adam,13,LSTM,M3,y
seq2seqwithdenselayer_nmw_cocob,6,LSTM,M3,y
stacking_adagrad,7,LSTM,M3,y
stacking_adam,12,LSTM,M3,y
stacking_cocob,14,LSTM,M3,y
seq2seq_adagrad,23,ERNN,M3,y
seq2seq_adam,20,ERNN,M3,y
seq2seq_cocob,17,ERNN,M3,y
seq2seqwithdenselayer_mw_adagrad,3,ERNN,M3,y
seq2seqwithdenselayer_mw_adam,28,ERNN,M3,y
seq2seqwithdenselayer_mw_cocob,26,ERNN,M3,y
seq2seqwithdenselayer_nmw_adagrad,33,ERNN,M3,y
seq2seqwithdenselayer_nmw_adam,32,ERNN,M3,y
seq2seqwithdenselayer_nmw_cocob,35,ERNN,M3,y
stacking_adagrad,25,ERNN,M3,y
stacking_adam,24,ERNN,M3,y
stacking_cocob,34,ERNN,M3,y
seq2seq_adagrad,25,GRU,NN5,y
seq2seq_adam,29,GRU,NN5,y
seq2seq_cocob,27,GRU,NN5,y
seq2seqwithdenselayer_mw_adagrad,33,GRU,NN5,y
seq2seqwithdenselayer_mw_adam,13,GRU,NN5,y
seq2seqwithdenselayer_mw_cocob,22,GRU,NN5,y
seq2seqwithdenselayer_nmw_adagrad,34,GRU,NN5,y
seq2seqwithdenselayer_nmw_adam,15,GRU,NN5,y
seq2seqwithdenselayer_nmw_cocob,12,GRU,NN5,y
stacking_adagrad,3,GRU,NN5,y
stacking_adam,4,GRU,NN5,y
stacking_cocob,6,GRU,NN5,y
seq2seq_adagrad,26,LSTM,NN5,y
seq2seq_adam,23,LSTM,NN5,y
seq2seq_cocob,11,LSTM,NN5,y
seq2seqwithdenselayer_mw_adagrad,31,LSTM,NN5,y
seq2seqwithdenselayer_mw_adam,17,LSTM,NN5,y
seq2seqwithdenselayer_mw_cocob,10,LSTM,NN5,y
seq2seqwithdenselayer_nmw_adagrad,32,LSTM,NN5,y
seq2seqwithdenselayer_nmw_adam,14,LSTM,NN5,y
seq2seqwithdenselayer_nmw_cocob,21,LSTM,NN5,y
stacking_adagrad,5,LSTM,NN5,y
stacking_adam,1,LSTM,NN5,y
stacking_cocob,2,LSTM,NN5,y
seq2seq_adagrad,35,ERNN,NN5,y
seq2seq_adam,24,ERNN,NN5,y
seq2seq_cocob,18,ERNN,NN5,y
seq2seqwithdenselayer_mw_adagrad,28,ERNN,NN5,y
seq2seqwithdenselayer_mw_adam,20,ERNN,NN5,y
seq2seqwithdenselayer_mw_cocob,16,ERNN,NN5,y
seq2seqwithdenselayer_nmw_adagrad,30,ERNN,NN5,y
seq2seqwithdenselayer_nmw_adam,36,ERNN,NN5,y
seq2seqwithdenselayer_nmw_cocob,19,ERNN,NN5,y
stacking_adagrad,9,ERNN,NN5,y
stacking_adam,7,ERNN,NN5,y
stacking_cocob,8,ERNN,NN5,y
seq2seq_adagrad,20,GRU,Tourism,y
seq2seq_adam,22,GRU,Tourism,y
seq2seq_cocob,14,GRU,Tourism,y
seq2seqwithdenselayer_mw_adagrad,7,GRU,Tourism,y
seq2seqwithdenselayer_mw_adam,2,GRU,Tourism,y
seq2seqwithdenselayer_mw_cocob,4,GRU,Tourism,y
seq2seqwithdenselayer_nmw_adagrad,27,GRU,Tourism,y
seq2seqwithdenselayer_nmw_adam,18,GRU,Tourism,y
seq2seqwithdenselayer_nmw_cocob,25,GRU,Tourism,y
stacking_adagrad,31,GRU,Tourism,y
stacking_adam,34,GRU,Tourism,y
stacking_cocob,32,GRU,Tourism,y
seq2seq_adagrad,26,LSTM,Tourism,y
seq2seq_adam,17,LSTM,Tourism,y
seq2seq_cocob,19,LSTM,Tourism,y
seq2seqwithdenselayer_mw_adagrad,15,LSTM,Tourism,y
seq2seqwithdenselayer_mw_adam,10,LSTM,Tourism,y
seq2seqwithdenselayer_mw_cocob,8,LSTM,Tourism,y
seq2seqwithdenselayer_nmw_adagrad,11,LSTM,Tourism,y
seq2seqwithdenselayer_nmw_adam,13,LSTM,Tourism,y
seq2seqwithdenselayer_nmw_cocob,12,LSTM,Tourism,y
stacking_adagrad,21,LSTM,Tourism,y
stacking_adam,36,LSTM,Tourism,y
stacking_cocob,28,LSTM,Tourism,y
seq2seq_adagrad,16,ERNN,Tourism,y
seq2seq_adam,23,ERNN,Tourism,y
seq2seq_cocob,24,ERNN,Tourism,y
seq2seqwithdenselayer_mw_adagrad,3,ERNN,Tourism,y
seq2seqwithdenselayer_mw_adam,6,ERNN,Tourism,y
seq2seqwithdenselayer_mw_cocob,1,ERNN,Tourism,y
seq2seqwithdenselayer_nmw_adagrad,30,ERNN,Tourism,y
seq2seqwithdenselayer_nmw_adam,9,ERNN,Tourism,y
seq2seqwithdenselayer_nmw_cocob,5,ERNN,Tourism,y
stacking_adagrad,29,ERNN,Tourism,y
stacking_adam,35,ERNN,Tourism,y
stacking_cocob,33,ERNN,Tourism,y
seq2seq_adagrad,7,GRU,M4,y
seq2seq_adam,35,GRU,M4,y
seq2seq_cocob,11,GRU,M4,y
seq2seqwithdenselayer_mw_adagrad,1,GRU,M4,y
seq2seqwithdenselayer_mw_adam,16,GRU,M4,y
seq2seqwithdenselayer_mw_cocob,9,GRU,M4,y
seq2seqwithdenselayer_nmw_adagrad,5,GRU,M4,y
seq2seqwithdenselayer_nmw_adam,20,GRU,M4,y
seq2seqwithdenselayer_nmw_cocob,14,GRU,M4,y
stacking_adagrad,27,GRU,M4,y
stacking_adam,31,GRU,M4,y
stacking_cocob,36,GRU,M4,y
seq2seq_adagrad,26,LSTM,M4,y
seq2seq_adam,22,LSTM,M4,y
seq2seq_cocob,24,LSTM,M4,y
seq2seqwithdenselayer_mw_adagrad,2,LSTM,M4,y
seq2seqwithdenselayer_mw_adam,15,LSTM,M4,y
seq2seqwithdenselayer_mw_cocob,10,LSTM,M4,y
seq2seqwithdenselayer_nmw_adagrad,4,LSTM,M4,y
seq2seqwithdenselayer_nmw_adam,12,LSTM,M4,y
seq2seqwithdenselayer_nmw_cocob,13,LSTM,M4,y
stacking_adagrad,21,LSTM,M4,y
stacking_adam,28,LSTM,M4,y
stacking_cocob,25,LSTM,M4,y
seq2seq_adagrad,30,ERNN,M4,y
seq2seq_adam,19,ERNN,M4,y
seq2seq_cocob,17,ERNN,M4,y
seq2seqwithdenselayer_mw_adagrad,3,ERNN,M4,y
seq2seqwithdenselayer_mw_adam,18,ERNN,M4,y
seq2seqwithdenselayer_mw_cocob,23,ERNN,M4,y
seq2seqwithdenselayer_nmw_adagrad,6,ERNN,M4,y
seq2seqwithdenselayer_nmw_adam,33,ERNN,M4,y
seq2seqwithdenselayer_nmw_cocob,8,ERNN,M4,y
stacking_adagrad,32,ERNN,M4,y
stacking_adam,34,ERNN,M4,y
stacking_cocob,29,ERNN,M4,y
