Model_Name,Median_MASE,x
ARIMA,0.709,v
ETS,0.659,v
RNN,0.892,v
RNN,0.752,v
RNN,0.813,v
RNN,1.115,v
RNN,0.717,v
RNN,0.777,v
RNN,0.795,v
RNN,0.854,v
RNN,0.794,v
RNN,0.771,v
RNN,0.725,v
RNN,0.729,v
RNN,0.954,v
RNN,0.828,v
RNN,0.882,v
RNN,0.767,v
RNN,0.755,v
RNN,0.777,v
RNN,0.767,v
RNN,0.906,v
RNN,0.894,v
RNN,0.826,v
RNN,0.844,v
RNN,0.748,v
RNN,0.888,v
RNN,0.85,v
RNN,0.91,v
RNN,0.778,v
RNN,0.736,v
RNN,0.736,v
RNN,0.754,v
RNN,0.728,v
RNN,0.734,v
RNN,0.807,v
RNN,0.738,v
RNN,0.745,v
