Model_Name,Median_SMAPE,x
RNN,0.080510195327624,v
RNN,0.066653154752614,v
RNN,0.077636584846208,v
RNN,0.095357824322815,v
RNN,0.064266511745026,v
RNN,0.086325049604154,v
RNN,0.076379241483945,v
RNN,0.078608061941738,v
RNN,0.063951513508342,v
RNN,0.072209665286663,v
RNN,0.073652493139788,v
RNN,0.070596498102837,v
RNN,0.083886659515175,v
RNN,0.085176524915949,v
RNN,0.093812238179666,v
RNN,0.071750687257233,v
RNN,0.0718995758959,v
RNN,0.07280505607368,v
RNN,0.082739770537856,v
RNN,0.091403723626623,v
RNN,0.091219757049227,v
RNN,0.068237633858125,v
RNN,0.076870499376208,v
RNN,0.068182159510899,v
RNN,0.082394070095123,v
RNN,0.073939537321968,v
RNN,0.087793944308924,v
RNN,0.072278067353454,v
RNN,0.074341359757767,v
RNN,0.077364233968019,v
RNN,0.069506020615867,v
RNN,0.073497231169365,v
RNN,0.067184924419465,v
RNN,0.081792117952085,v
RNN,0.076475992373195,v
RNN,0.074197368070253,v
ARIMA,0.070436518958691,v
ETS,0.066750960721994,v
