Model_Name,SMAPE,x
RNN,0.106172742534373,v
RNN,0.089799920715498,v
RNN,0.094187260241614,v
RNN,0.088544305145926,v
RNN,0.089949847444358,v
RNN,0.089699959761552,v
RNN,0.09387118686686,v
RNN,0.091617575504315,v
RNN,0.092918975404588,v
RNN,0.089919320843723,v
RNN,0.091205134143327,v
RNN,0.091106063542391,v
RNN,0.090417446734737,v
RNN,0.089261849362376,v
RNN,0.090982292276382,v
RNN,0.090832027393897,v
RNN,0.089614520611768,v
RNN,0.08979761440926,v
RNN,0.092893055788773,v
RNN,0.090011336310408,v
RNN,0.089518813707299,v
RNN,0.089585988637254,v
RNN,0.090823830071262,v
RNN,0.094462515370653,v
RNN,0.092426735698523,v
RNN,0.093934470568305,v
RNN,0.095795936355091,v
RNN,0.089600769650176,v
RNN,0.093696937666831,v
RNN,0.090261170198634,v
RNN,0.089723725054916,v
RNN,0.090954398646184,v
RNN,0.091490142914818,v
RNN,0.09071842259019,v
RNN,0.093522777235795,v
RNN,0.095595065782472,v
ETS,0.091329111962146,v
ARIMA,0.090059324223057,v
