Model_Name,Mean_SMAPE,x
RNN,0.142709504203547,v
RNN,0.151658145383223,v
RNN,0.144933860911472,v
RNN,0.142709051049008,v
RNN,0.144726944730623,v
RNN,0.14501330331536,v
RNN,0.161502287601081,v
RNN,0.145516003559482,v
RNN,0.148819796354274,v
RNN,0.142709047452087,v
RNN,0.14525115829598,v
RNN,0.145471925852936,v
RNN,0.14283195936323,v
RNN,0.144407404266766,v
RNN,0.143611641859687,v
RNN,0.142706760148239,v
RNN,0.144931023703424,v
RNN,0.142148318234268,v
RNN,0.142863172587168,v
RNN,0.143368305743463,v
RNN,0.142810590007503,v
RNN,0.142471265008474,v
RNN,0.146531366142154,v
RNN,0.148268055045063,v
RNN,0.143028854269375,v
RNN,0.143928644764439,v
RNN,0.145424323996956,v
RNN,0.147881969903518,v
RNN,0.150328707370128,v
RNN,0.15112120375341,v
RNN,0.145680920233413,v
RNN,0.14974407883242,v
RNN,0.154228896583428,v
RNN,0.15145589355356,v
RNN,0.152324263949088,v
RNN,0.153871945425647,v
ARIMA,0.136859098117824,v
ETS,0.142849739943758,v
