Model_Name,SMAPE,x
RNN,0.225877801491061,v
RNN,0.235572772177668,v
RNN,0.224441712033193,v
RNN,0.225939751537212,v
RNN,0.226718817270536,v
RNN,0.218152259708515,v
RNN,0.221509835022275,v
RNN,0.227388520862154,v
RNN,0.22839139163614,v
RNN,0.226743945862276,v
RNN,0.216964330260435,v
RNN,0.228412571957415,v
RNN,0.226743943340898,v
RNN,0.207286772452594,v
RNN,0.213126394306901,v
RNN,0.226743936748914,v
RNN,0.21948459724753,v
RNN,0.219869324242278,v
RNN,0.22674393979668,v
RNN,0.208327840616509,v
RNN,0.229517998790286,v
RNN,0.226082023110109,v
RNN,0.227753324837222,v
RNN,0.220640276862578,v
RNN,0.226449896048299,v
RNN,0.237738422319711,v
RNN,0.220357719447474,v
RNN,0.210853302205991,v
RNN,0.208449705350937,v
RNN,0.208344482724818,v
RNN,0.211564545329897,v
RNN,0.204623274468959,v
Stacked_LSTM_COCOB,0.203342971678937,v
RNN,0.209726875687032,v
RNN,0.213284221042417,v
RNN,0.213807983807189,v
RNN,0.215184341995859,v
RNN,0.213407613913017,v
RNN,0.201437228677739,v
RNN,0.217124302624603,v
RNN,0.201650214674388,v
Stacked_LSTM_COCOB(IW+),0.200306262506544,v
RNN,0.211556836165141,v
RNN,0.21354089984941,v
RNN,0.216033751580635,v
ETS,0.203517145415283,v
ARIMA,0.331549408238444,v
