Model_Name,SMAPE,x
RNN,0.050639483281451,v
RNN,0.074291247208113,v
RNN,0.056905346967472,v
RNN,0.108698258916518,v
RNN,0.060935999276575,v
RNN,0.052133020765705,v
RNN,0.052419828417524,v
RNN,0.051900397298167,v
RNN,0.05250413238051,v
RNN,0.049476840038162,v
RNN,0.051286711073635,v
RNN,0.051612366965324,v
RNN,0.05198904425433,v
RNN,0.071593506827022,v
RNN,0.053032122493412,v
RNN,0.050291900411449,v
RNN,0.05127103819199,v
RNN,0.054411852677926,v
RNN,0.050705046039649,v
RNN,0.049682852838987,v
RNN,0.050944934158481,v
RNN,0.049910362928127,v
RNN,0.053569458658356,v
RNN,0.06276949835534,v
RNN,0.05165801899219,v
RNN,0.051472164107583,v
RNN,0.051134836511883,v
RNN,0.052091854830333,v
RNN,0.053989496493221,v
RNN,0.053952439849323,v
RNN,0.051255851539698,v
RNN,0.052982381200873,v
RNN,0.053510555983665,v
RNN,0.053911111462672,v
RNN,0.055328065441362,v
RNN,0.055764019984937,v
ETS,0.048596865957014,v
ARIMA,0.047519382828584,v
