Model_Name,Mean_MASE,x
ARIMA,1.00478296895278,v
ETS,0.981795347908556,v
RNN,1.07603514026156,v
RNN,1.23555266047719,v
RNN,1.12449985025457,v
RNN,1.05902046520914,v
RNN,1.08502266147549,v
RNN,1.10998822002596,v
RNN,1.48603553958271,v
RNN,1.09488659279225,v
RNN,1.25508914844764,v
RNN,1.03573884396526,v
RNN,1.03575272037536,v
RNN,1.03427812718379,v
RNN,1.07539213337327,v
RNN,1.09107217729859,v
RNN,1.09189338125187,v
RNN,1.03502136368174,v
RNN,1.03943196565838,v
RNN,1.03759558750125,v
RNN,1.07455365878007,v
RNN,1.04395547569132,v
RNN,1.0853179594689,v
RNN,1.02855845063392,v
RNN,1.03701667165818,v
RNN,1.07357552161326,v
RNN,1.04210532095438,v
RNN,1.09019177398423,v
RNN,1.07055355894979,v
RNN,1.04598632325047,v
RNN,1.06703254467405,v
RNN,1.0483118698213,v
RNN,1.05419167415394,v
RNN,1.05490905460717,v
RNN,1.11215653389238,v
RNN,1.04387870619946,v
RNN,1.07774653089747,v
RNN,1.05964560247579,v
