Model_Name,Mean_SMAPE,x
ARIMA,0.144757450423446,v
ETS,0.146268456248946,v
RNN,0.157241455949212,v
RNN,0.156380613530275,v
RNN,0.153235575189167,v
RNN,0.153035899026282,v
RNN,0.156473939937317,v
RNN,0.17207592441895,v
RNN,0.153687452759871,v
RNN,0.156479510309505,v
RNN,0.152914070217369,v
RNN,0.15205183630051,v
RNN,0.159535246158525,v
RNN,0.152654689131677,v
RNN,0.154862819938402,v
RNN,0.15688168508655,v
RNN,0.158149057964222,v
RNN,0.152167945223798,v
RNN,0.158732765453837,v
RNN,0.153690569043626,v
RNN,0.155004099562657,v
RNN,0.157100898139983,v
RNN,0.157042204383899,v
RNN,0.153499493574085,v
RNN,0.157474219939014,v
RNN,0.158066531624327,v
RNN,0.155266019158716,v
RNN,0.156721172609113,v
RNN,0.156008000986641,v
RNN,0.167815489104546,v
RNN,0.167998206861498,v
RNN,0.166622674640926,v
RNN,0.165172861066715,v
RNN,0.166933061417199,v
RNN,0.164946475781869,v
RNN,0.168290979828364,v
RNN,0.1685245970521,v
RNN,0.16675620906532,v
