Model_Name,Mean_MASE,x
ARIMA,0.88413357400722,v
ETS,0.831830324909747,v
RNN,1.10587364620939,v
RNN,0.92428880866426,v
RNN,1.01878700361011,v
RNN,1.52148736462094,v
RNN,0.901046931407942,v
RNN,1.00378339350181,v
RNN,0.989768953068592,v
RNN,1.06538267148014,v
RNN,0.944671480144404,v
RNN,0.956379061371841,v
RNN,0.933707581227437,v
RNN,0.904191335740072,v
RNN,1.17398916967509,v
RNN,1.03528158844765,v
RNN,1.10879783393502,v
RNN,0.956552346570397,v
RNN,0.95328880866426,v
RNN,0.965198555956679,v
RNN,0.975361010830325,v
RNN,1.12774729241877,v
RNN,1.08223104693141,v
RNN,0.986324909747292,v
RNN,1.01764259927798,v
RNN,0.91185559566787,v
RNN,1.12038267148014,v
RNN,1.00617328519856,v
RNN,1.12823465703971,v
RNN,0.956870036101083,v
RNN,0.907826714801444,v
RNN,0.937462093862816,v
RNN,0.935859205776173,v
RNN,0.893823104693141,v
RNN,0.904996389891697,v
RNN,0.980902527075812,v
RNN,0.924530685920578,v
RNN,0.913548736462094,v
