Model_Name,Median_SMAPE,x
ARIMA,0.067644825118066,v
ETS,0.067179764717456,v
RNN,0.073087799384655,v
RNN,0.076507861556932,v
RNN,0.073343889021572,v
RNN,0.072430127937597,v
RNN,0.072285616730323,v
RNN,0.072817291586197,v
RNN,0.087994112425883,v
RNN,0.072447213962642,v
RNN,0.080431061268662,v
RNN,0.071130658962208,v
RNN,0.069630406976583,v
RNN,0.070586084192568,v
RNN,0.073051174357698,v
RNN,0.073605751768347,v
RNN,0.072809291380695,v
RNN,0.071057618113573,v
RNN,0.070270358144724,v
RNN,0.071226661963725,v
RNN,0.073056647652349,v
RNN,0.070851131853431,v
RNN,0.072981184229255,v
RNN,0.069814308797162,v
RNN,0.070134969405385,v
RNN,0.071889610213577,v
RNN,0.071361690464982,v
RNN,0.073289399392852,v
RNN,0.072636419494135,v
RNN,0.069904109543062,v
RNN,0.071384526605601,v
RNN,0.069901331735145,v
RNN,0.069915443441924,v
RNN,0.070551316599503,v
RNN,0.071027750056156,v
RNN,0.069729797456329,v
RNN,0.072523237988094,v
RNN,0.070878506381667,v
