Model_Name,Mean_MASE,x
RNN,0.920130569476082,v
RNN,1.32988437357631,v
RNN,0.887991799544419,v
RNN,0.913437266514806,v
RNN,1.16961886104784,v
RNN,0.888382687927107,v
RNN,1.15566332574032,v
RNN,1.13966551252847,v
RNN,1.01907353075171,v
RNN,0.92015735763098,v
RNN,0.902860774487472,v
RNN,0.95958715261959,v
RNN,0.932813120728929,v
RNN,0.981465876993166,v
RNN,0.937548063781321,v
RNN,0.92015735763098,v
RNN,0.90263735763098,v
RNN,0.937598724373576,v
RNN,0.938090751708428,v
RNN,0.949185968109339,v
RNN,0.945014760820046,v
RNN,0.917131207289294,v
RNN,0.900132300683371,v
RNN,0.951492300683371,v
RNN,0.939260045558087,v
RNN,1.64586788154898,v
RNN,0.941352528473804,v
RNN,0.981246469248292,v
RNN,0.930083189066059,v
RNN,1.03216291571754,v
RNN,0.938837357630979,v
RNN,0.950815854214123,v
RNN,0.892632072892938,v
RNN,1.05286277904328,v
RNN,0.956841002277904,v
RNN,0.947004009111617,v
ARIMA,0.875333029612756,v
ETS,0.909981776765376,v
